"Категория";"URL категории";"Товар";"Вариант";"Описание";"Цена";"URL";"Изображение";"Артикул";"Количество";"Активность";"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";"Старая цена";"Рекомендуемый";"Новый";"Сортировка";"Вес";"Связанные артикулы";"Смежные категории";"Ссылка на товар";"Валюта";"Свойства"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*62-AB-L";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: левая</div><div>Тип петли: накладная</div>";"27.76";;"0_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*62-AB-L][title=KEDR 100*62-AB-L]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*62-AB-R";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: правая</div><div>Тип петли: накладная</div>";"27.76";;"1_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*62-AB-R][title=KEDR 100*62-AB-R]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*62-CR-L";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: левая</div><div>Тип петли: накладная</div>";"27.76";;"2_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*62-CR-L][title=KEDR 100*62-CR-L]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*62-CR-R";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: правая</div><div>Тип петли: накладная</div>";"27.76";;"3_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*62-CR-R][title=KEDR 100*62-CR-R]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*62-G-L";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: левая</div><div>Тип петли: накладная</div>";"27.76";;"4_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*62-G-L][title=KEDR 100*62-G-L]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*62-G-R";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: правая</div><div>Тип петли: накладная</div>";"27.76";;"5_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*62-G-R][title=KEDR 100*62-G-R]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*62-S-L";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: левая</div><div>Тип петли: накладная</div>";"27.76";;"6_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*62-S-L][title=KEDR 100*62-S-L]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*62-S-R";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: правая</div><div>Тип петли: накладная</div>";"27.76";;"7_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*62-S-R][title=KEDR 100*62-S-R]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*75-AB-L";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: левая</div><div>Тип петли: накладная</div>";"32.97";;"12_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*75-AB-L][title=KEDR 100*75-AB-L]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
"Дверная фурнитура/Кедр/KEDR Петли";"door-furniture/kedr/KEDR-petli";"KEDR 100*75-AB-R";;"<div>Петли разъемные KEDR, с помощью которых дверь прикрепляется к раме, изготовлены из высококачественной стали. Преимущество разъемных петель в том, что они позволяют снять дверь с рамы, не снимая петель.</div><div></div><div>Материал: сталь</div><div>Покрытие: гальваническое покрытие</div><div>Сторона открывания: правая</div><div>Тип петли: накладная</div>";"32.97";;"13_kedr-petli-syemnie.jpg[:param:][alt=KEDR 100*75-AB-R][title=KEDR 100*75-AB-R]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";"Тип=KEDR Петли&Страна-производитель товара=Фабричный Китай&Цвет покрытия=null&Производитель=[type=assortmentCheckBox value=Кедр product_margin=Милано|Новый Стиль|Стеко|Арма|Апекс|Века|Омис|Кроноспан|Tower Floor|Кедр|Брама|НДС Двери|Marley|Agata Stal|Tikkurila]"
